127;A Z MARKET (S.A.S.U COLOMBES DISTRIBUTION);9 RUE PAUL BERT;92700;A améliorer;48.926231,2.247083;1480;1
128;A. BROYER BOUCHERIE CHARCUTERIE;175 RUE DU CENTRE;1140;Très satisfaisant;46.177116,4.81775;5260;101
129;A.B.S;5 RUE GANNERON;75018;Très satisfaisant;48.887933,2.327785;4421;46
130;A.B.S FACTORI;15 QUAI DE LA CLOCHE;68200;A améliorer;47.751415,7.328509;4143;98
131;A.C ZAMORA;rue de la Paix;92230;A améliorer;48.934368,2.297082;2254;11
132;A.C.I.C.;42 T RUE DE BORDEAUX;94220;Satisfaisant;48.822525,2.410959;1244;99
133;A.E.P CARLHIAN RIPPERT;CHEMIN VIEUX;5100;Très satisfaisant;44.896532,6.638141;866;99
134;A.H.S.M. ADELAIDE PERRIN SITE D AINAY;6 RUE JARENTE;69002;Très satisfaisant;45.754261,4.827812;3516;99
135;A.J.L.;7 PORTE DE BALE;68100;Satisfaisant;47.746517,7.343202;4143;46
136;A.M.B.;30 RUE DE QUEULEU;57070;Satisfaisant;49.110145,6.1887;3815;98
137;A.M.D.;33 RUE DE CHARTRES;75018;Satisfaisant;48.884838,2.352453;4421;1
138;A.P.;148 RTE D AIFFRES;79000;Satisfaisant;46.314243,-0.450222;4228;101
139;A.R.CHAMPAGNE;Avenue du Maréchal Joffre;51200;Très satisfaisant;49.052494,3.955728;1909;98
140;A.S.L.I CORPORATION;52 BD DE LA REPUBLIQUE;35400;Satisfaisant;48.647483,-2.008642;5586;98
141;A.T.A;30 RUE DE LA PISCINE;57500;Satisfaisant;49.106912,6.69966;5174;98
142;A+;3 BD GENERAL DE GAULLE;20200;Très satisfaisant;42.699674,9.450351;461;98
143;A1 SUPERMARKET;65 AV D ARGENTEUIL;92600;Très satisfaisant;48.913391,2.283731;254;1
144;A2M OUEST;LD SALTGOURDE;24430;Satisfaisant;45.197402,0.669465;3668;98
145;A2PAS;20 PLACE DU MARCHE SAINT HONORE;75001;Satisfaisant;48.866369,2.331871;4423;57
146;A2PAS;20 PLACE DU MARCHE SAINT HONORE;75001;Très satisfaisant;48.866369,2.331871;4423;98
147;A2PAS;7 RUE RIQUET;75019;Très satisfaisant;48.888159,2.376306;4422;46
148;A2PAS;234 RUE DE CRIMEE;75019;Très satisfaisant;48.894132,2.373315;4422;45
149;A2PAS;234 RUE DE CRIMEE;75019;Très satisfaisant;48.894132,2.373315;4422;80
150;A2PAS;234 RUE DE CRIMEE;75019;Très satisfaisant;48.894132,2.373315;4422;94
151;A3A;18,RUE DE BOUSSY;91480;Très satisfaisant;48.680758,2.538425;4833;99
152;A54197;DOM DE BEUIL;17230;Très satisfaisant;46.2261,-1.020759;5682;99
153;AARADHYA;196 RUE DE PARIS;93130;Satisfaisant;48.903676,2.470107;4249;46
154;AARDWARK;179 AV DE VALENCIENNES;59400;Très satisfaisant;50.183642,3.251818;980;98
155;AB CENTER;2 ALLEE JOSEPH LACROIX,;47550;Très satisfaisant;44.176642,0.628073;677;98
156;AB DISTRIBUTION;20 RUE JEAN ROBERT;75018;Très satisfaisant;48.890119,2.358373;4421;46
157;"AB LAFUMAT ""CONSERVERIE-CHARCUTERIE-ARTISANS ARDECHOIS""";Le Village;7300;Satisfaisant;45.051781,4.804213;4587;11
158;AB&MP;37 RUE VICTOR HUGO;42350;Satisfaisant;45.482333,4.437915;2838;98
159;ABADIE NICOLAS;RUE DE VERDUN;71160;Très satisfaisant;46.477922,3.989432;1758;12
160;ABATTOIR VEGETAL;61 RUE RAMEY;75018;Satisfaisant;48.890536,2.345394;4421;98
161;ABATTOIRS DU SUD;1 RUE DES ROCHETTES;91150;Satisfaisant;48.451788,2.170968;4094;11
162;ABBATE ROMAIN;11 RUE CHARLES MORIN;76260;Satisfaisant;50.050197,1.420342;1985;11
163;ABBAYE SAINT LOUIS DU TEMPLE;MAISON RETRAITE ABBAYE ST LOUIS;91430;Satisfaisant;48.735021,2.207876;6478;99
164;ABBAYE SAINTE MARIE ASSOCIATION DOM GUERANGER;9 RUE DE LA SOURCE;75016;Satisfaisant;48.851184,2.268346;4419;99
165;ABC & CDE;16 AV DU GENERAL DE GAULLE;54700;Très satisfaisant;48.904937,6.041484;4676;98
166;ABC PUERICULTURE;7 PLACE VIOLET;75015;Satisfaisant;48.844834,2.29089;4418;99
167;ABC PUERICULTURE;3 IMPASSE DU GUE;75018;Satisfaisant;48.896983,2.358494;4421;99
168;ABCT  ALIMENTATION GENERALE;17 rue de la Tournelle;93410;Satisfaisant;48.932938,2.576609;6479;11
169;ABDI DJILALI;67 RUE MARTYRS DE LA RESISTANCE;69200;Satisfaisant;45.690725,4.871248;6522;98
